ツイートID,ツイート本文
1639542422626799619,"@wafu_spaghetti イタリア料理店のキッチンでこれからはパスタを…？笑

新しいステージ、頑張ってください！！"
1639541986771488769,"@mikimomo_as いやまぁ、私的にも色々思うところはあるので平気です！！
反省するところは、反省しないといけませんけど！"
1639537836759318529,"@mikimomo_as ありがとうございます！
軽く読みましたが…光希桃先生とは色々とお話したいです！"
1639535337381965824,"電卓 &amp; そろばん
エクセル &amp; 電卓
AI &amp; エクセル（？） https://t.co/GnA85yFF3z"
1639522710979227651,@charoid_ai これはいいですね！
1639520326404161536,@usamiko 一回回すお金でどれだけ買えると思っているんだ笑
1639515402937204738,"これ

[Shift]+[F8]を押してから選択

こっちはセル範囲のときと1セルのときで挙動が違う謎があったような… https://t.co/B5bXzt2B5o"
1639501610052386817,当座預金と当座借越も是非…！ https://t.co/wiZtWmwWuS
1639496665601306624,@Hiro_officewrkr そんなデスクあったら入り浸り確定です
1639495621269942275,@Hiro_officewrkr それ、私の本も入ってますよね？笑
1639493141333180419,"RT @penkun583: 怪しい日本語！！！
でも語感大好き https://t.co/t9x9cJBYn7"
1639490320261087232,@s5ml チェック入れないと投稿できないとか笑
1639489231394590720,"RT @Tsutsui0524: めちゃくちゃ面白かったです！

・紹介している関数が多い
・重複しない順位を作る数式を扱っている

ツボ：
「過労死兆星」
「キーボードを突く」
「電卓より優れた計算方法など存在しねえ！」

#広告 
世紀末救世主伝説 エクセル関数北斗百列拳…"
1639471181895208960,"@RelaxTools クリスタ良さそうですよね〜
株持ってて使い続けられるなら、悪くないなと笑"
1639464255450939392,"セルシスの株主優待
今だと68,000円か〜 https://t.co/znRTocCjfK"
1639460893229744128,"RT @Tsutsui0524: INDEX MATCH
#関数ちゃん

フォロワー数1.5万人になりました
これからもよろしくお願いします https://t.co/H78Pm6AG4r"
1639460759368507392,上司の顔色をうかがう時代から、AIの顔色をうかがう時代へ
1639446501758996481,"@air_bento_ya 招待制でしたっけ？
懐かしいですね〜"
1639440051192074242,"@IT_craftmanship ありがとうございます！
エンジニャーではないですが、Fさんの感触が悪くない本なら読みたい…！"
1639436230395039744,@IT_craftmanship もしよかったらタイトル教えてください！
1639435957945647104,RT @_EikoShimomura_: Excelのセンスが致命的に無いんだけど、このブログは分かりやすかった。
1639432274419810304,@IT_craftmanship 気になります
1639431990352154626,日本の企業がTwitter作ったら、アカウント開設と同時に公式がフォローしてくれてフォロワー0の状態にならない、みたいなことしてくれそう
1639399352862146560,"@mine__0 @chome2xx それくらいの感覚ですよね
今も理屈が全てわかってる訳ではなさそうな"
1639395441908531200,@chome2xx これの理屈が最近までよく分かってなかったというのだからビックリですよね
1639394687030267904,"NOWちゃんの記事、イラスト変えたり追記したりしました

NOW関数 擬人化キャラクター解説！エクセル関数の機能や使い方を図やイラストでかんたんに説明します！ https://t.co/GLoGKykHg9"
1639394645661876224,"RT @matsbox: 🗓暦の擬人化　春分の日編

（今年の春分の日は3月21日でした！）
#暦の擬人化 #拝啓暦の上から https://t.co/cxqXzKmsaa"
1639392457959030785,"RT @a_ranking_news: (3/24) honto 電子書籍ストアランキング &gt; コンピュータ・IT・情報科学 &gt; ソフトウェアランキング5位:筒井.xls『関数ちゃんと学ぶエクセル仕事術 実務で役立つExcel関数を擬人化したら？』
https://t.co/a…"
1639390129038188544,"RT @yu_38s: ほんとそう！
#Excel の裏技覚えるみたいで便利！"
1639248709107216386,"RT @Tsutsui0524: 久しぶりにブログ更新しました！

IF関数ではワイルドカードが使えませんが、COUNTIF関数と組み合わせて使う数式を紹介しています！

=IF(COUNTIF(B2,""営業*"")&gt;0,""営業部"","""")

#関数ちゃん
【エクセルTips】I…"
1639241195997233153,@Yakiniku_Soda_ えっ、それは詐欺にはならないんですか
1639236253983064066,@tako_and_kitune 正しいですね〜
1639230127019266048,"RT @furyutei: 筒井.xls「関数ちゃんと学ぶエクセル仕事術 実務で役立つExcel関数を擬人化したら？」 (できるビジネス) https://t.co/NJhU8KQnl7 #ad 

うちにも本日届いてました～入門させていただきます(笑)

筒井さん @Tsut…"
1639228465768722436,@ksgiksg 週明けの姿が目に浮かぶようだ
1639228126671814656,"@RazorEdge2077 克典さん、ありがとうございます！
機能に愛着が湧きます！"
1639223955763650560,@maruru17436913 @johnchung1975 えっっ
1639217960014479360,"@nitoukinnosuke 懐かしい！
ジムに潜入するときでしたっけ？？"
1639217845241528320,"RT @nitoukinnosuke: おまけ
分かる人いるのか？

#アニポケ https://t.co/o49FGFpSWn"
1639204658614009857,"「新入社員よExcelを勉強しろ」では不十分
勉強で得た知識は周囲に隠しておこう
そして見せるタイミングは慎重に選ぼう"
1639203416143728641,"@ksgiksg 2日もある！！
なにしよっかなー！！"
1639181724562382851,@giniro4 期日の列を追加したり、残り日数の列を追加したり、チェック済みの列を追加したり、チェック済みの列を追加したり、連絡済みの列を追加したり、チェック済みの列を追加したりですかね…
1639180858249842690,トライアル期間は百発百中だったOCRソフトが、導入したとたんに精度が下がったのでトライアル期間は人力だった説が浮上している
1639159124578668546,@Delicatessen38 列追加するのではなく既存の列に機能を追加…それは危険なムーブ…
1639158888577761280,"私は引き継ぐときにABCのようなツッコミが入らないように、自分が担当の時以上に便利にしようとするタイプですね
それで、渡すのがちょっと惜しくなってしまうことがあります笑 https://t.co/Q1Qvxbjzqw"
1639157230963658753,"Excelのステータスバーを右クリックするとCapsLock、NumLock、ScrollLockの状態が表示できます
なんとクリックしてもLockの状態は変えられず、ただ状態を表示するのみです
残念…！！ https://t.co/zRAYytnjVT"
1639153540517228545,@geinin 便利機能も使われなくては…
1639142503751483394,@mine__0 期間のクオーターという説を見たことがあります
1639142254446284802,@TempemLoid そういうの保守する人に仕事回ってくるんですよね～
1639139774924722178,上司、ミスの再発防止策でエクセルの表に列追加しがち
1639123243234885639,"企業「今後のご活躍を心よりお祈り申し上げます」

超大型就活生「自分の目で見てみたいとは思わんかね？私の、今後を」"
1639109538065559552,"Q1 Q2 Q3 Q4 Q1 Q2 Q3…

オートフィルは実行後のチェックもセットで！ https://t.co/gPxj5qg2Yp"
1639086887070752768,@RPA_Journey 孤独ですよね…
1639081862462320640,@s5ml たまにあるガチのやつでした笑
1639078777182642177,"Excelマクロ直った…
今まで使えていたマクロが突然使えなくなって、エクスポート、インポート、マクロの記録を行うと回復するという謎現象でした"
1639069781776289792,@IT_craftmanship うまぁい
1639066360172138496,@N_noir_7 言語というツールの使いこなしがイマイチに感じました
1639064896326504450,@furyutei いやもう、こんなツイートに付き合わせてすいません…笑
1639062794913083392,種「あつくなって、つい芽が出てしまった」
1639061964549939200,"@ayutimali 次からそれ試します…！！
WaasMedicの存在しりませんでした"
1639058036030590976,"@ayutimali シャットダウンするとまずいんですか…！？
無効にするとまずいとかではなく、電源落とすのが良くないということでしょうか"
1639045009474473989,"RT @fanatic008: 仕事柄すぐにイメージできたけど、その後のリプが秀逸すぎてめっちゃ楽しくなったw
とりあえずC4だけでいいけどCなら被害でかいねw"
1639032584960372736,"@StudykExcel どうやったらこんなに記事が量産できるんですか！？
見習わなくてはと思いつつ、真似できる気がしません…！"
1639031348823478272,"@TETRA_IT まるでベンチャー社長のバーゲンセールだな…
※着ている社長は付属しません"
1639030826527772673,"今日は何もしてないのに壊れたExcelの修理…
何もしてないのになぁ…"
1639019044421664769,@omiso_seal なによりです！
1639015921653260289,RT @AruF0nt: 将来有望すぎ
1639015718757994496,RT @moripro3: 入社前に覚えておきたい一覧🌸
1638898597826793478,"RT @matudakta: おはようございます！
おはようございます！！

筒井さんの関数ちゃんを買いました！

https://t.co/0uuH5HCv5s

「筒井.xls」の読み方を知ってちょっと驚きました。

裏表紙から背表紙まで楽しめます！ 笑

いろいろ仕掛けが…"
1638869546483466240,"RT @Tsutsui0524: こども「障子破っちゃった…」

親「どこ！？」

こども「セルで言うとC4」"
1638867087987978240,"RT @impress_corp: ／
『関数ちゃんと学ぶエクセル仕事術』
まえがき～第1章 無料公開キャンペーン
＼

新刊の一部が無料で読めちゃう！
擬人化されたExcel関数たちと一緒に楽しく使い方を学びましょう！
3月31日まで✨

#無料公開 #Excel関数

ht…"
1638867022837841921,RT @a_ranking_news: (3/23) honto 本の通販ストアランキング &gt; コンピュータ・IT・情報科学 &gt; ソフトウェアランキング2位:筒井.xls （著）『関数ちゃんと学ぶエクセル仕事術 実務で役立つＥｘｃｅｌ関数を擬人化したら？ （できるビジネス...…
1638866472746520577,RT @shii___0530: こういうの見ると授業真面目に受けててよかったってなる
1638800243864272901,領収書を書いてもらう時、めんどうじゃない…？？ https://t.co/lrCudQ5LnZ
1638740600735379462,"『入力時メッセージ機能』

セルを選択した時にポン！とメッセージを表示する機能（コメント機能ではない）、入力時の注意事項や、リストを表示できて便利です！

他の人が使っていたので真似しようとしたら、なかなか情報にヒットせず苦労しました…

解説ブログ記事
https://t.co/KREMPRX2Zz https://t.co/SebFEChMRm"
1638698073479340032,RT @Sakurada_U: このツイートもこのリプ欄も好きすぎる
1638661644376223744,"春のExcelショートカットキー一覧

一覧を眺めると「こんな機能あったんだ！」とか「ショートカットキーあったんだ！」と、発見がありますよね
以前は目に留まらなかったものが、今は目に留まったり…！

時々眺めると、発見があるかもしれません！ https://t.co/vYFwfyQtoh"
1638657223495938048,"RT @fukarakaru: webアニメーションの記事を更新しました。
「Web Animations APIのシンプルな使い方」。

JavaScriptを使って、CSS/SVGのアニメーションを操作する仕組みです。
サクッと実装できる方法を紹介。
#javascript…"
1638656220885303297,受講したい… https://t.co/15ix3Mezg4
1638655772249960448,"MARUZEN&amp;ジュンク堂書店 梅田店様(@mjumeda)
ありがとうございます！！ https://t.co/GZQo33le1z"
1638654808403111936,@toshi81350036 さすがとしじさん！
1638583731920461824,RT @Tsutsui0524: 今、逆に売れそう https://t.co/nbzkYFUvJS
1638565778533539840,@yolozyaTOM 求道者ですね！
1638565130341580801,@siecov 筒井味を感じ取ってくださりありがとうございます！
1638562978512642048,RT @toshi81350036: あ、これバズるやつだ😎✨
1638562951895580673,@toshi81350036 さすがです
1638562622818906123,"@siecov これ結構言われます…！！
ジャンル的にステッカー付きは難しそうですよね笑"
1638561747899670529,"RT @matsbox: 春爛漫！🌸
創作/再掲 https://t.co/NH1qdpjs2R"
1638560584328413187,"@smskn らむおさん、ありがとうございます！
XLOOKUPのセリフは頑張って考えたので嬉しいです！！"
1638560351339057152,"RT @smskn: 読了でございます。
ストーリー仕立てで、圧倒的読みやすさがこの本のウリだと思います。実用的な関数がピックアップされてるから、早速明日から使えちゃうしね。
一番のお気に入りは、XLOOKUPちゃんの決めセリフ😉 https://t.co/YkEpFlJZet"
1638480386236743685,"会社に届いた請求書の企業ロゴが横にびよ～んと伸びていて「列幅変更に引っ張られたんだな」と推理した
(Excel製だったんだ…)"
1638442002114310144,@Kuroi_CPA 工場経理は必読の書になりそうな予感がします…！！
1638441144349786112,RT @madarame_bco: こういう表現する子どもは大歓迎
1638441128063295488,@nyanko_super 文句の付け所がない神対応です
1638440941454508034,"RT @nyanko_super: インターネットが壊れちゃった！助けて！

はいはーい、これがインターネットですよー(アイコンだけIEに変えたEdgeをYahooをhomeに設定して起動する)"
1638435392352579584,"趣旨を理解していないスレ主
『侍ジャパンのメンバーで打線組んだったｗｗｗｗｗ』"
1638433325365985281,@ankoromochi7793 相互リンクおねがいします！
1638433159640645632,@okkun_oosaka F1キー連打したのかと！
1638393154742411264,@Excel_xlsx 著者として青りんごさんが得るものがあるとは思えないという…笑
1638392974014054402,"@ankoromochi7793 おめでとうございます！！
私もブログ頑張らねば！！"
1638391210707677189,"@IT_craftmanship 実際そういうタイプは副業でもしっかり稼げそうですもんねえ…
ぶら下がり根性の人間の世話まで見てられないっていうのは、そうでしょうね"
1638385304188108801,@marustudio えどげ～…
1638385074164084737,RT @hassy_birow: 弊社では「青いアルファベットのeマークあったよね？あれがリニューアルしたのがこれ(edgeアイコン)なんよ」といわないとダメですね(特定の人)😇😇
1638358946061914112,Edgeのことを「新しいインターネットエクスプローラー」と言うと、すんなり伝わることがある
1638358094312005632,"@Bug1978 便利な関数をいきなり与えられるから戸惑うんですかねえ
関数化、すすめていきます！！"
1638353635963981825,@yakku_BTC セル結合はアカン
1638352080812527617,@na_da513302 @yakku_BTC 串刺しなんて上級テク使われたら…笑
1638348459412705280,"こども「障子破っちゃった…」

親「どこ！？」

こども「セルで言うとC4」"
1638347963033591809,最近、コミュニケーションで悩んだことがあったので一刻も早く発売して頂きたい… https://t.co/98hVlNd4Xi
1638343791559204864,"RT @SGTY24: IFERROR知らんくて、いつも IF(ISERROR(～),～,～) って書いてた…(´･ω･`)"
1638316409720823809,RT @nycity1022: 「実践　手入力」がもし本当に出版されたら、の目次案を作成してみた。こんな感じだろうか。何となく某有名技術書出版社風の目次にしてみた…つもり。 https://t.co/tGBHCbcSv4
1638308338734706688,RT @YrkD05: 聖徳太子のメンタルどうなってんの？
1638304696149630976,"「この関数便利そう！試してみよ！」
っていう時にバージョン足りてない時のもどかしさ…

Excel関数バージョン対応表です https://t.co/JiKi8Jas1v"
1638303532167331841,"RT @matsbox: 🗓3月22日（水）
🗒旧暦閏2月1日・己卯・つちのとう

旧暦では、昨日が2月晦日。ということは今日から3月…ではなく、今年は閏（うるう）月でもう一回2月がスタート！

現在の七十二候は「雀始巣（すずめはじめてすくう）」で、道端のチュンたちを応援したく…"
1638301957436715009,"AIに「指摘するから、何か間違ったこと言って」と頼んだら断られました
このプライドを見習ったほうがいい"
1638301311220453376,"RT @Tsutsui0524: 書籍をご購入いただいた皆様へ

現時点で2点、誤記が判明しています
お詫びと訂正をご確認いただきますようお願い申し上げます

あと6章扉イラストの虫眼鏡が欠けてしまいました
申し訳ございません

関数ちゃんと学ぶエクセル仕事術 https://…"
1638183162093387779,"RT @impress_corp: おはようございます🌞
週末にもお知らせしましたが、『関数ちゃんと学ぶエクセル仕事術』の一部無料公開を3月31日まで延長しています！

見逃していた方も今からぜひご覧ください！
それでは本日もよろしくお願いします。"
1638166227209297922,"@KotorinChunChun ちゅん先生、ありがとうございます
ヨドバシはチェックしてませんでした…嬉しいですね〜！"
1638156152231051264,@koikoi_kkk こんなのずるい！！笑
1638121269932507138,聖徳太子専用スマホOS https://t.co/GYrFRv2nE2
1638118508545572868,"@neko_shark9 鳩さん、ありがとうございます！！
勉強楽しい…とても嬉しいお言葉です！！"
1638106421794607104,"VBAはコードが上から順番につら～っと処理・計算される線のイメージで、関数はこう、バン！！っていう点のイメージ！

計算の時系列が同時みたいな…関数が難しく感じる原因なんじゃないかと思ってますが…どうなんでしょう"
1638089031866290178,@mine__0 bingさん回答ですが https://t.co/LMJBcwlTUy
1638076473889394688,"PC：何もしてないのに壊れる
人間：何もしてないのに疲れる"
1638075622756089856,"RT @zodiac_aq: 「会議では◯◯と言ったけれど書くな」
「◯◯は△△と書いておけ」

等もブラック企業議事録あるあるかも😇"
1638072583991230465,役員から聞いたこともないRPAを紹介されたので、代わりにPADを勧めた
1638070160417517569,"@blue201507 ありがとうございます！
IFERRORちゃんが頑張っていますね笑"
1638059346319015938,"@mikimomo_as 果たしてそれで良いのかという問題はありますが…笑
私のブログはやっぱり関数ちゃんがいるのが特徴なのでCOUNTIFちゃんに一言登場してもらいました！

以前SUMIFを1セルで…というのを見かけてなんじゃそりゃと思ったのですが、今回の用途はアリな気がしています

省略の式かっこいいですよね！"
1638058592933920768,@vvqe1ji6kYe7e6p おめでとうございます！
1638058031798951937,"RT @satokenr: オライリーｗｗｗｗ

すごくためになることが、やたらと小難しく書き記されていそうｗ😂"
1638052387620544517,17世紀ごろまで西洋諸国が負の数という概念に抵抗を示していたらしいので、簿記が負の数を使わずに貸借(左右)でなんとかする仕組みなのは自然に思える
1638021459112267779,RT @tanaka4412: 市だと四日市市とか市川市にやられるやつだ！🙃
1638021416342917121,"久しぶりにブログ更新しました！

IF関数ではワイルドカードが使えませんが、COUNTIF関数と組み合わせて使う数式を紹介しています！

=IF(COUNTIF(B2,""営業*"")&gt;0,""営業部"","""")

#関数ちゃん
【エクセルTips】IF関数でワイルドカードを使う！？ https://t.co/xhtr52KiXJ https://t.co/k7e8givZD6"
1638016328316645376,"セルA2の住所から県名を抜き出す数式

=LEFT(A2,3+(MID(A2,4,1)=""県""))

『◯◯県』に『県◯市』があった場合に『◯◯県県』を返すことが危惧されますが、『県』という漢字を含む市は岐阜県山県市のみ、東京23区に『県』から始まる区が無いので大丈夫です！ https://t.co/XVZNQIOy0m"
1637997194119876608,@sugoi_kaizen い、一体何が…
1637988553912385537,@ankoromochi7793 サインいくらでも書きたいのですが…笑
1637985093850652672,@ticktackworker 好きな画風です…良い！！
1637984020720959488,"@shintaro_sprech エンドミルの製造ラインですか！
エンドミルひとつとっても奥が深そうですよね
直接加工物に触れるものなので品質の基準が厳しそうなイメージです"
1637963380526026752,"RT @dekirumonn: MARUZEN＆ジュンク堂書店梅田店様で｢関数ちゃんと学ぶエクセル仕事術 実務で役立つExcel関数を擬人化したら？」をどどーんと展開中♪先週、新たに関数ちゃんのパネルを追加したんだもん！是非、見に来てほしいんだもーん🌸
#関数ちゃん　#Exce…"
1637963249424699392,"エンドミル！！
購入品の摘要欄に何度入力したことか…！！ https://t.co/l0WioJgjpz"
1637958050467414016,RT @nama_anal_fan: オライリーってわかると面白いやつ
1637958029869187074,"Excelでのファンクションキーの使い方はこの本で学びました
紙面も詰め込みすぎず読みやすいです！！ https://t.co/gdvodQrAo5"
1637957532613484546,@nijino_dqx おめでとうございます！！
1637957496915787776,"RT @Tsutsui0524: 最近Twitter低浮上気味でしたが、書籍執筆のために時間がとれなかったためでした

ここ数カ月は本文・サンプルを考え、キャラクターをデザイン、イラストを描き…と多忙に過ごさせて頂きました
そんなこんなで #関数ちゃん 本が3/14に発売します…"
1637908926820909061,"@8Us5OgOadbEjKwJ 花楽さん、ありがとうございます！
擬人化にはこだわりました
布教頂けると幸いです！！"
1637821566313709569,@actiolic お役に立てて何よりです！
1637807738100109314,"@Momiji_DD511801 これ逆算でLINEのお友達の数バレるやつですか
特に支障もないですけど笑"
1637806190095736840,"@Momiji_DD511801 -2150になりました
納得はしています"
1637804486059253762,@koikoi_kkk これが動画で言っていたやつですね笑
1637795754889850880,"@ExcelVBAer 踊るさん、ありがとうございます！！
息子さん片手に…素晴らしいですね"
1637772933375602689,"@ymmox 同じような経験したことありますけど、しばらく頭から離れなかったです
このイラストは成仏させたくて描いたものと推測いたしました笑"
1637762405395513349,今、逆に売れそう https://t.co/nbzkYFUvJS
1637760785433923584,"@ankoromochi7793 うどんじゃないんですね笑
いただきます！！"
1637759466283352069,@ankoromochi7793 おつかれさまでした
1637758245023670272,"@RPA_Journey おめでとうございます！
おつかれさまでした！"
1637757547741609984,@kinasato_mochi おめでとうございます！
1637757220812361728,@ino_dev 暴言に暴言返してるだけだからヨシ！（？）
1637756839701135360,@ellnore_pad_267 無言なのがまた笑
1637755263137759232,"@satovba7 私もこれ悩んでます！！
だいたい一緒ですよね〜"
1637754426386694145,@saitomoko なんだってー！？
1637752717757280257,"@bianchi_kab びあんきさん、ありがとうございます！
関数ちゃんプロフィールからというのは、良い順番ですね！
NOWちゃん推しありがとうございます！"
1637695709951705088,@wa_maru_gm まるさん、ありがとうございます！！
1637695621024092161,"RT @Tsutsui0524: 無料公開の期間が今日までになっていましたが、好評により月末まで延長となっています！

そりゃ試し読みしてみないと相性も分からないですよね！笑

『関数ちゃんと学ぶエクセル仕事術』まえがき〜第1章 無料公開キャンペーン - インプレスブックス h…"
1637692548855787520,"CONCATちゃんが増えてる…！！
MARUZEN＆ジュンク堂書店梅田店様、ありがとうございます！ https://t.co/GZQo33le1z"
1637686791544373248,"@sugoi_kaizen めっちゃ推しを感じました！！
なんか私も嬉しかったです笑"
1637680507558432774,吉田先生（@sugoi_kaizen ）の本に手書きのポップと付箋つき見本ですごい神店舗…！！ https://t.co/AJZWt79OeT
1637676445345669121,"@SoutaSecure Soutaさんありがとうございます！
読まれますように！"
1637619225899720704,@IT_craftmanship @matudakta いやいや、そんなつもりは！
1637617979184775169,中小企業だと『海外拠点で現地採用する外国人に部長以上の給料が提示できないから採用できない』とか起きてそう
1637574286872580096,"RT @Tsutsui0524: 部下「議事録できました。ご確認お願いします。」

上司「どれどれ…あ、ここ会議後の雑談で変更になったから修正して」

部下「議事録では…？」"
1637573510917914624,"『 Windows + Shift + S 』
指定範囲のスクリーンショットを撮影してクリップボードへ送る

『Ctrl + V』や『Windows + V』で貼り付け可能な状態になります
範囲指定モードの時に方向キーを押すと位置の微調整、Ctrlキーで始点・終点を確定します！ https://t.co/LPLaRMSZq1"
1637573278880649216,@ksgiksg ローコード…
1637569923873636353,"@souring001 フル拝見しました
面白かったです！"
1637568079424262144,@KotorinChunChun これは、いい笑
1637541590200885248,おめでとうございます！ https://t.co/8HfSAfP2pi
1637449793458040834,"RT @ticktackworker: 50レビューに到達しました✨

手にとってお読みいただいたうえに、星まで付けてくださって本当にありがとうございます🙌

これからもレビューを踏まえて改善してまいります。

https://t.co/iZc1pW1jcW"
1637443032688779265,"@ma_anago すごい納得しました…笑
あれはやばい粉です…"
