アカウントID,アカウント名
sarari_buzzryer,SES営業マン23の代@未来の執行役員
Nomura_SES,ノムラシステム 次世代戦略室 SES（システムエンジニアリングサービス）営業
waaai_yattaaa,おおとも@excite新規事業奮闘中
LIVsoft_0401,きゃみSES営業
rightarm_AyaKo,ライトアーム株式会社　小峯
aaa1583aaa,つつみ『ses営業』
nakamu0809,なかむ@SES営業
taka_ses_,たかちゃん@SES営業🔰
Stks_Rikutera,リクルートテーラーで採用支援@Storks
buzztweet_mouth,まうす@企業アカの中の人
SES_K_,K＠SES営業
2V1UGnYZinZaE11,長谷川真一
ses_knsk,SES営業👨
DgsLjuTXyBHIses,SES営業担当小野
1031sakusaku,1031saku
ASSES48908959,AS SES営業
nakane_SES,中根@SES営業
flyhawk202002,Tsubo@fh
ITSES8,M(SES/転職支援)＠人材8年目
abcdefg_001_,改装中
yamamoto_haji,山本※エンジニア支援(SESなど)
menherarisutTKG,TKGmen＠SES営業
wakuwaku_SES7,いしころ@SES営業
sesmoco,もこ@SES営業
kzakuzaku_k29,key@SES
StarkSugai,stark_sugai
SESIT13,YOU＠SES企業経営
Ses_ganbaro,高橋@SES営業
B94_nanami,nanami
KingfootballK,k@ソース顔代表
pomfy8,pomfy@SES【事務&時々営業】
ise27052044,s_ie@元ses営業
PFL_222,PEY代表取締役
kahlkopf0527,ヒロ＠チャイルドスポンサー
ssvv1900_ss,きびだんご@SES営業
thv_ng,佐藤￤SES営業
zenryoku_worker,よよよ@SES
96QpY5g9WnATI9w,よこ@SES営業
Notty_CEO,能登 星嘉｜IT×人材
legame2019,legame@長野
ashida_ses,芦田@SESたたかうWEB
taiki_ses,Taiki Oguchi
ichinose_eigyo,一ノ瀬＠SES営業
TXHCOjt7ZC1RaxN,SHIRAISHI@SES営業
ses_tk_,たか@SES営業
kenyoamour,Kenyoamour
SES10935912,SES営業
kyamamoto1987,山本 巧次郎@SES
ista_osaka0301,アイスタ大阪★加藤
matsu_ses,まつ@SES営業→東京
osamu_effect,平山理@PE代表/SES営業/ITコンサルタント
wakuwaku_ses,いし@SES営業
pw9x4,MARI
laniakea_tomita,冨田 開平（Laniakea代表）@先端技術案件特化型ソフトハウス
SES14904904,タク@SES営業
_____tech,Momose
Nier_ses,にーあ@派遣・SES営業
SES97600694,目指せ！オリジナリティ営業マン@SES営業
sLcVdj37aToXlr6,SES営業(元調理師)
wakuwaku_ses3,w@SES営業
SSES63472179,S@SES営業/エンジニア募集
ueshkoko,上原秀一@石垣島営業
hideand5seek,大野 秀昭 (Ohno Hideaki)（株）GLW創業｜日本人バイリンガル技術者を積極採用！
ohnishi_igroove,おおにし@SES営業
50307agent,もんちゃん@新卒人事
sbHQ9f3hwYzxpe1,こうすけ
Ganbaru_Gakusei,高ちゃん@DXを推進し隊👩🏻‍💻
SESeigyoSES,はしづめ@SES営業
CEO_YK_rif,かわしま@レインオンファニーしゃちょー
Rushout20190701,株式会社Rushout
Beatit_llc,合同会社ビート•イット | SESパートナー企業様募集中
y_ichi_,馬渕太陽☀️＠SES営業（人材メインに募集）
apple_apple_ap2,やま
docosmo0828,どぅ。＠SES営業【協業様、フリーランスエンジニア様DM下さい💌】
SIF_0621,みのさん@ラボ・SES営業
gennki1986,げんき💡SIer営業兼グループ企業CHRO
s1bXFUnRvsgNbs8,ナカジマ@SES営業
9sa4ba,kusasiba
yoshidases27,カブラボ吉田@IT営業
pepe_salesman,やじゅ@笑うSES営業
pt_kokoro,こころ@SES営業/ぶっちゃけ系エージェント
kaedeichijo_94,一条楓 | SNSマーケター、サラリーマンバリスタ
1025Leeknow_8,ABC
kakegawamenchi,掛川めんち
mamamasu_3,ます◎🐬エンジニア＋人事・教育
shima84498141,SES営業20年＠shima777🌼
azg_ses,TT＠SES
nonaming123456,_
idealdecode,イデアルデコード
ZikouOikawa,おいかわ
SES48740815,えも＠SES社長【正社員募集中】関東、大阪、名古屋、福岡
usa0283,ウサP
biz_Mukai,Nobu@Security/SES
YTTsalesMan,YTTテクノロジー＠SES
ses_h0101,N@SES営業/フリーランスエージェント
r_i_ses,いしおか@SES営業
itmusubimaru,むすびまる 受託/SES
noinoigiants,のい@営業
gg_hamusuke,トキ@SES営業
lifepivot10,SES営業マン
ses_nnnn,なかむら(SAPの営業)
raptec_inc,株式会社ラプテック(RAPTEC)
amble_kota,高橋宏太@SES営業
sesnokosuge1997,コスゲ@SES営業
seseigyo1109,テラシーク澤田@SES営業
madodododo_do,くにまさまどか@SES営業と広報とアシスタントと
Ac0901ses,Y@SES営業
SES40316220,Ryo@SES営業
NatsuSES1,Natsu@SES営業・人事
eigyo_20070601,赤坂三人娘＠SES営業
yumyyyyy222,ゆっちゃん@SES営業
gumigood,だよん/Webライター
tcnk001,こづやん＠SES営業
yuichisatoeco,佐藤優一/大手IT事業会社のプロマネ
saiyo_nogizaka,Shogo@乃木ヲタ人事(業務内容：総務人事経営企画法務)
sm_199621,☺︎☺︎
takumiio,たくお@vimmer
secure_suzu,secure すーちゃん
nSSJIqETXX57PNU,tiki
ari_ses,ありすた@SES営業・人事
tokyo_yummy_,倉田小春
ryoko_itoq,龍飛岬さんSES営業🪩 フルリモート◎地方◎エンジニア採用
ALLLinks3,とみー（ポンコツ社長）＠ALL-Links🇺🇦
lover_kawasaki,Rin_Rin🇵🇭🇯🇵
SES39429004,SES営業するジャギ
Cub_Laboratory_,Cub Laboratory(カブラボ）
tamachan_slj,たまき@SES営業
Jikuo190,じょーさん＠IT人材カタリスト
HAL_1192,HAL@丸栄情報_正社員募集中
chikasan1216,ちかさん@加湿器使う人
ssnroZwxwqYMYw1,りゅう＠SES営業
tone_hibiki,刀祢響生@㍿IMG取締役
SES_201111start,さとう@SES営業
emit_k,くろ｜IT営業(SES)｜元SE
Cloud9________9,Cloud9株式会社
KenjiroSES1,Kenjiro@SES
ICSoccer_intern,ひろ
EngneeRec,R@SES営業と兼業社長
satoshi42464340,satoshi
bizdegradation,自堕落サラリーマンのぼやき
tomomi_1217_fr,ともみ/エンジニア営業【株式会社WASABI】
secure_shimo,みく@SES営業
AL59249024,ALN@IT営業
LEMONTEA_GASUKI,40歳になったSES営業マン
mdjajpw,Y.H@システム会社代表
sallytake21,Sally
sae_rif,なかだ@レインオンファニー人事
IIDA1982,イイダ@マニラ🇵🇭と川崎でIT会社経営中
takemochi55,a.t@SES営業
SES_Sales_k,なべ@SI/SES営業
sesnari,ゆきひろ🦍🍌＠Rubyとフルリモに強いIT会社の人事営業広報
noanonakanohito,おやいづ@ノア
SES97826062,よし@SES営業
SES2202,こりす💓SIer/SES営業4〜22年★人事もやってるよ
otya_de_ses,SES営業
division1_sns,DIVISION1 株式会社
xtoshi0223,お松
SES23413119,＠しょうご　SESと企画営業
kuto_SES,sh@SES
tech_reis,泉@TechReisエンジニア採用
HppngK8c09PC9HT,SEPTEMVA取締役＠ITコンサル　受託　SES
AddlinksSy,AddLinks_SY@エンジニア
kudySES2,kudy@SES
SES8YK1,SES営業 8年目 @YK
makobusiness,mako
junwat_dexall,渡辺@Dexall取締役兼営業MG
SES_jackjordan,とみ@SES営業
Satochan_18_18,さとちゃん｜IT(SES)営業｜
zeronet1104,SES営業
mikan_ses,mikami_ses
kazunagakzm,kazu@SES営業
mihara_ses,みはら＠SES営業
shunichi_ses,つかもと@SES営業＆エンジニア採用担当
choru_ses,ちょる
aolloproject,青 ｜SES営業
SaitoSes,Saito/SES営業
ses07104098,バード@ses営業
persons_ses,こさか@SES営業・人事
bx_shu95,SHU@営業×SF×採用
p8Yr4p8Srwxktzb,こーせい/株式会社Yakudo/SES営業
next30_yu,ゆう@SES_
ses20210802,🌟【SES営業⚔️Design】
MKC20210701SES,内田＠MKCソリューション　営業兼エンジニア
Hayasessales,大塚 @ SES営業
garuchan_ses,ガル@元エンジニア→元SES営業→キャリアアドバイザー
shinao_ses,しなお@SES営業
Hitmeup2020,ヌコさん/SES_HUB-Offcial
tkm_bltBB,haGi@フリーランスエージェント&SI事業
moe28862053,mo@SES
terauchiIT1,寺内@IT営業
maruchan_SES,まる@SES営業
DA_shota_u,shota@SES営業
SES28974519,たこ SES
kmtm1131,たろす@SES営業
shion____17s,shion
yuchanseseigyo,近藤@SES営業
iam_050505,うさぎ@人類🌱
sessales_biz,SES営業マン｜業界経験15年
kXmXHfqTccJvXRc,Na@SES営業
m_sakamoto2,さかもと@SES営業
CloudMeets_,CloudMeets®︎ クラウドミーツ - 無料で情報交換♪
0uETVw2aDs0IGRb,けー@SES営業
SES00571358,SES営業9年目×エンジニアの二刀流営業
uzumakises,matsu@SES営業
braVance_si,SES🦉いしやま🏔
gang01663597,gang＠SES営業
persons_toyama,遠山@ゼロからスタートSES営業
manoalino_yoshi,某ヨシダ＠SES　営業サポート
U_do_take,たけ
k_sestokyo_k,Kami@ses営業
tok1_SES,とき@SES営業
SES22724091,あずさ@SES営業
PLEONSES1,プレオン須藤@SES営業
tryup20210930,GO MIKAMI@SES営業（チワワ大好き）
gj4IlhJRi88EJWu,へぽ＠SES営業
pikachan06,ピカチュウのタマゴ@SES営業くん
ses_ss2,SHiN@SES営業
rasuku_itou,株式会社ラスク大阪支社　伊藤尚希　SES営業
SES04170471,はじめSES営業
